keibajo_code,kyori,wakuban,sample_count,tansho_hit_count,fukusho_hit_count,tansho_hit_rate,fukusho_hit_rate,keibajo_name
42,1400,1,629,50,163,7.95,25.91,浦和
42,1400,2,677,69,197,10.19,29.1,浦和
42,1400,3,649,75,196,11.56,30.2,浦和
42,1400,4,688,59,197,8.58,28.63,浦和
42,1400,5,1049,105,282,10.01,26.88,浦和
42,1400,6,1111,107,304,9.63,27.36,浦和
42,1400,7,1255,119,328,9.48,26.14,浦和
42,1400,8,1317,145,383,11.01,29.08,浦和
42,1500,1,277,26,75,9.39,27.08,浦和
42,1500,2,247,21,70,8.5,28.34,浦和
42,1500,3,266,20,70,7.52,26.32,浦和
42,1500,4,294,24,70,8.16,23.81,浦和
42,1500,5,412,29,88,7.04,21.36,浦和
42,1500,6,459,40,129,8.71,28.1,浦和
42,1500,7,485,38,118,7.84,24.33,浦和
42,1500,8,498,57,144,11.45,28.92,浦和
42,1600,1,90,9,35,10.0,38.89,浦和
42,1600,2,91,14,41,15.38,45.05,浦和
42,1600,3,100,16,35,16.0,35.0,浦和
42,1600,4,112,13,37,11.61,33.04,浦和
42,1600,5,87,9,32,10.34,36.78,浦和
42,1600,6,150,10,37,6.67,24.67,浦和
42,1600,7,177,13,47,7.34,26.55,浦和
42,1600,8,179,9,26,5.03,14.53,浦和
42,1900,1,6,0,3,0.0,50.0,浦和
42,1900,2,12,3,3,25.0,25.0,浦和
42,1900,3,8,1,2,12.5,25.0,浦和
42,1900,4,8,2,4,25.0,50.0,浦和
42,1900,5,17,2,5,11.76,29.41,浦和
42,1900,6,16,1,4,6.25,25.0,浦和
42,1900,7,15,0,2,0.0,13.33,浦和
42,1900,8,19,0,4,0.0,21.05,浦和
42,2000,1,32,6,8,18.75,25.0,浦和
42,2000,2,26,5,11,19.23,42.31,浦和
42,2000,3,36,3,9,8.33,25.0,浦和
42,2000,4,27,3,5,11.11,18.52,浦和
42,2000,5,44,3,14,6.82,31.82,浦和
42,2000,6,64,7,18,10.94,28.12,浦和
42,2000,7,64,12,21,18.75,32.81,浦和
42,2000,8,41,2,17,4.88,41.46,浦和
43,1000,1,105,4,26,3.81,24.76,船橋
43,1000,2,103,15,37,14.56,35.92,船橋
43,1000,3,150,6,34,4.0,22.67,船橋
43,1000,4,156,16,51,10.26,32.69,船橋
43,1000,5,181,15,54,8.29,29.83,船橋
43,1000,6,188,17,52,9.04,27.66,船橋
43,1000,7,194,20,60,10.31,30.93,船橋
43,1000,8,184,16,44,8.7,23.91,船橋
43,1200,1,431,32,106,7.42,24.59,船橋
43,1200,2,485,34,157,7.01,32.37,船橋
43,1200,3,480,38,127,7.92,26.46,船橋
43,1200,4,460,46,126,10.0,27.39,船橋
43,1200,5,665,49,169,7.37,25.41,船橋
43,1200,6,811,88,259,10.85,31.94,船橋
43,1200,7,856,79,262,9.23,30.61,船橋
43,1200,8,883,91,263,10.31,29.78,船橋
43,1400,1,13,0,2,0.0,15.38,船橋
43,1400,2,15,2,3,13.33,20.0,船橋
43,1400,3,11,1,2,9.09,18.18,船橋
43,1400,4,15,1,6,6.67,40.0,船橋
43,1400,5,25,4,6,16.0,24.0,船橋
43,1400,6,15,1,5,6.67,33.33,船橋
43,1400,7,16,0,2,0.0,12.5,船橋
43,1400,8,25,0,4,0.0,16.0,船橋
43,1500,1,283,14,68,4.95,24.03,船橋
43,1500,2,310,29,87,9.35,28.06,船橋
43,1500,3,288,28,77,9.72,26.74,船橋
43,1500,4,324,23,96,7.1,29.63,船橋
43,1500,5,375,37,119,9.87,31.73,船橋
43,1500,6,482,39,133,8.09,27.59,船橋
43,1500,7,477,51,156,10.69,32.7,船橋
43,1500,8,551,59,181,10.71,32.85,船橋
43,1600,1,316,35,79,11.08,25.0,船橋
43,1600,2,305,31,87,10.16,28.52,船橋
43,1600,3,421,31,102,7.36,24.23,船橋
43,1600,4,439,39,127,8.88,28.93,船橋
43,1600,5,502,33,117,6.57,23.31,船橋
43,1600,6,537,52,153,9.68,28.49,船橋
43,1600,7,563,38,142,6.75,25.22,船橋
43,1600,8,579,36,137,6.22,23.66,船橋
43,1700,1,38,5,11,13.16,28.95,船橋
43,1700,2,48,3,17,6.25,35.42,船橋
43,1700,3,41,1,7,2.44,17.07,船橋
43,1700,4,52,6,17,11.54,32.69,船橋
43,1700,5,58,6,12,10.34,20.69,船橋
43,1700,6,58,6,13,10.34,22.41,船橋
43,1700,7,64,4,22,6.25,34.38,船橋
43,1700,8,61,11,18,18.03,29.51,船橋
43,1800,1,28,2,6,7.14,21.43,船橋
43,1800,2,44,5,16,11.36,36.36,船橋
43,1800,3,52,4,11,7.69,21.15,船橋
43,1800,4,49,3,14,6.12,28.57,船橋
43,1800,5,64,5,12,7.81,18.75,船橋
43,1800,6,64,6,18,9.38,28.12,船橋
43,1800,7,80,7,22,8.75,27.5,船橋
43,1800,8,77,4,16,5.19,20.78,船橋
43,2200,1,15,1,4,6.67,26.67,船橋
43,2200,2,13,1,5,7.69,38.46,船橋
43,2200,3,8,0,2,0.0,25.0,船橋
43,2200,4,12,0,5,0.0,41.67,船橋
43,2200,5,27,4,10,14.81,37.04,船橋
43,2200,6,26,2,7,7.69,26.92,船橋
43,2200,7,21,2,4,9.52,19.05,船橋
43,2200,8,21,4,8,19.05,38.1,船橋
43,2400,1,3,0,0,0.0,0.0,船橋
43,2400,2,1,0,0,0.0,0.0,船橋
43,2400,3,3,0,0,0.0,0.0,船橋
43,2400,4,3,0,1,0.0,33.33,船橋
43,2400,5,3,0,1,0.0,33.33,船橋
43,2400,6,5,1,1,20.0,20.0,船橋
43,2400,7,4,0,0,0.0,0.0,船橋
43,2400,8,4,1,2,25.0,50.0,船橋
44,1000,1,52,6,22,11.54,42.31,大井
44,1000,2,41,6,19,14.63,46.34,大井
44,1000,3,44,9,13,20.45,29.55,大井
44,1000,4,46,5,19,10.87,41.3,大井
44,1000,5,57,4,15,7.02,26.32,大井
44,1000,6,49,9,16,18.37,32.65,大井
44,1000,7,56,4,15,7.14,26.79,大井
44,1000,8,58,4,16,6.9,27.59,大井
44,1200,1,1059,78,241,7.37,22.76,大井
44,1200,2,1085,87,265,8.02,24.42,大井
44,1200,3,1340,112,351,8.36,26.19,大井
44,1200,4,1463,112,370,7.66,25.29,大井
44,1200,5,1536,109,348,7.1,22.66,大井
44,1200,6,1654,124,376,7.5,22.73,大井
44,1200,7,1637,124,396,7.57,24.19,大井
44,1200,8,1722,131,388,7.61,22.53,大井
44,1400,1,538,62,146,11.52,27.14,大井
44,1400,2,517,47,142,9.09,27.47,大井
44,1400,3,688,48,164,6.98,23.84,大井
44,1400,4,801,66,206,8.24,25.72,大井
44,1400,5,816,59,211,7.23,25.86,大井
44,1400,6,858,77,204,8.97,23.78,大井
44,1400,7,892,70,221,7.85,24.78,大井
44,1400,8,905,64,200,7.07,22.1,大井
44,1500,1,155,12,37,7.74,23.87,大井
44,1500,2,156,8,35,5.13,22.44,大井
44,1500,3,207,21,58,10.14,28.02,大井
44,1500,4,223,17,51,7.62,22.87,大井
44,1500,5,264,17,63,6.44,23.86,大井
44,1500,6,287,25,70,8.71,24.39,大井
44,1500,7,283,27,74,9.54,26.15,大井
44,1500,8,313,17,61,5.43,19.49,大井
44,1600,1,754,66,209,8.75,27.72,大井
44,1600,2,717,73,212,10.18,29.57,大井
44,1600,3,919,58,221,6.31,24.05,大井
44,1600,4,1047,66,226,6.3,21.59,大井
44,1600,5,1099,68,246,6.19,22.38,大井
44,1600,6,1143,88,262,7.7,22.92,大井
44,1600,7,1176,84,268,7.14,22.79,大井
44,1600,8,1232,104,283,8.44,22.97,大井
44,1650,1,6,1,2,16.67,33.33,大井
44,1650,2,10,1,4,10.0,40.0,大井
44,1650,3,7,2,3,28.57,42.86,大井
44,1650,4,6,1,2,16.67,33.33,大井
44,1650,5,10,0,2,0.0,20.0,大井
44,1650,6,14,2,3,14.29,21.43,大井
44,1650,7,7,0,3,0.0,42.86,大井
44,1650,8,23,4,8,17.39,34.78,大井
44,1700,1,24,3,6,12.5,25.0,大井
44,1700,2,17,3,5,17.65,29.41,大井
44,1700,3,30,7,11,23.33,36.67,大井
44,1700,4,28,3,5,10.71,17.86,大井
44,1700,5,39,2,7,5.13,17.95,大井
44,1700,6,33,3,6,9.09,18.18,大井
44,1700,7,33,4,10,12.12,30.3,大井
44,1700,8,41,4,11,9.76,26.83,大井
44,1800,1,188,19,42,10.11,22.34,大井
44,1800,2,192,12,38,6.25,19.79,大井
44,1800,3,234,12,47,5.13,20.09,大井
44,1800,4,235,10,50,4.26,21.28,大井
44,1800,5,248,18,62,7.26,25.0,大井
44,1800,6,246,18,66,7.32,26.83,大井
44,1800,7,256,28,63,10.94,24.61,大井
44,1800,8,258,18,66,6.98,25.58,大井
44,2000,1,33,4,8,12.12,24.24,大井
44,2000,2,31,4,4,12.9,12.9,大井
44,2000,3,35,1,9,2.86,25.71,大井
44,2000,4,51,2,7,3.92,13.73,大井
44,2000,5,46,6,13,13.04,28.26,大井
44,2000,6,72,5,17,6.94,23.61,大井
44,2000,7,46,3,11,6.52,23.91,大井
44,2000,8,46,7,17,15.22,36.96,大井
44,2400,1,3,0,1,0.0,33.33,大井
44,2400,2,3,0,0,0.0,0.0,大井
44,2400,3,5,0,1,0.0,20.0,大井
44,2400,4,4,0,1,0.0,25.0,大井
44,2400,5,8,0,1,0.0,12.5,大井
44,2400,6,6,0,0,0.0,0.0,大井
44,2400,7,5,1,2,20.0,40.0,大井
44,2400,8,3,0,0,0.0,0.0,大井
44,2600,1,4,0,1,0.0,25.0,大井
44,2600,2,5,0,1,0.0,20.0,大井
44,2600,4,3,0,0,0.0,0.0,大井
44,2600,5,3,0,0,0.0,0.0,大井
44,2600,6,3,0,0,0.0,0.0,大井
