keibajo_code,keibajo_name,distance,waku,sample_count,tansho_hit_rate,fukusho_hit_rate,avg_hit_rate,baseline_rate,wakuban_coefficient
42,浦和,2000,6,557,10.77,26.21,18.490000000000002,17.35125,1.7081250000000026
42,浦和,2000,7,590,9.49,26.27,17.88,17.35125,0.7931249999999981
42,浦和,2000,8,603,7.63,25.54,16.585,17.35125,-1.1493749999999991
43,船橋,1000,1,565,6.73,25.84,16.285,19.725,-5.160000000000002
43,船橋,1000,2,565,9.56,29.38,19.47,19.725,-0.38250000000000384
43,船橋,1000,3,708,8.9,29.24,19.07,19.725,-0.9825000000000017
43,船橋,1000,4,750,12.0,34.0,23.0,19.725,4.912499999999998
43,船橋,1000,5,802,9.1,30.17,19.635,19.725,-0.1349999999999998
43,船橋,1000,6,785,9.68,28.03,18.855,19.725,-1.3050000000000015
43,船橋,1000,7,762,10.37,29.27,19.82,19.725,0.1424999999999983
43,船橋,1000,8,743,12.11,31.22,21.665,19.725,2.9099999999999966
43,船橋,1200,1,2989,7.13,23.92,15.525,18.255,-4.094999999999998
43,船橋,1200,2,2989,8.23,26.0,17.115000000000002,18.255,-1.7099999999999955
43,船橋,1200,3,2989,8.2,25.83,17.015,18.255,-1.8599999999999977
43,船橋,1200,4,2989,8.26,26.73,17.495,18.255,-1.139999999999997
43,船橋,1200,5,4443,9.09,27.48,18.285,18.255,0.045000000000001705
43,船橋,1200,6,4899,9.78,30.37,20.075,18.255,2.7300000000000004
43,船橋,1200,7,5253,10.83,29.93,20.38,18.255,3.1875
43,船橋,1200,8,5407,10.65,29.65,20.15,18.255,2.8424999999999994
43,船橋,1500,1,1566,8.43,24.14,16.285,18.59375,-3.463125
43,船橋,1500,2,1566,8.43,27.33,17.88,18.59375,-1.0706250000000015
43,船橋,1500,3,1578,8.49,27.63,18.06,18.59375,-0.8006250000000019
43,船橋,1500,4,1609,7.21,28.22,17.715,18.59375,-1.3181250000000002
43,船橋,1500,5,2338,10.22,29.08,19.65,18.59375,1.5843749999999979
43,船橋,1500,6,2519,8.77,28.62,18.695,18.59375,0.15187500000000043
43,船橋,1500,7,2635,10.51,29.34,19.925,18.59375,1.996875000000001
43,船橋,1500,8,2714,11.35,29.73,20.54,18.59375,2.9193749999999987
43,船橋,1600,1,1277,8.85,24.04,16.445,17.426875,-1.472812499999998
43,船橋,1600,2,1277,8.07,25.29,16.68,17.426875,-1.120312499999999
43,船橋,1600,3,1635,7.83,24.04,15.934999999999999,17.426875,-2.2378125000000004
43,船橋,1600,4,1774,8.96,27.23,18.095,17.426875,1.0021874999999998
43,船橋,1600,5,1936,8.88,26.24,17.56,17.426875,0.19968749999999957
43,船橋,1600,6,2089,9.81,27.24,18.525,17.426875,1.6471874999999994
43,船橋,1600,7,2210,9.28,28.05,18.665,17.426875,1.8571875000000002
43,船橋,1600,8,2270,8.15,26.87,17.51,17.426875,0.12468750000000384
43,船橋,1700,1,168,8.33,28.57,18.45,18.47,-0.02999999999999936
43,船橋,1700,2,168,6.55,30.36,18.455,18.47,-0.022500000000000853
43,船橋,1700,3,199,10.55,33.17,21.86,18.47,5.085000000000001
43,船橋,1700,4,214,6.54,24.77,15.655,18.47,-4.222499999999999
43,船橋,1700,5,235,8.09,24.26,16.175,18.47,-3.4424999999999972
43,船橋,1700,6,258,10.47,27.13,18.8,18.47,0.49500000000000277
43,船橋,1700,7,275,10.18,26.55,18.365000000000002,18.47,-0.1574999999999953
43,船橋,1700,8,290,11.38,28.62,20.0,18.47,2.2950000000000017
43,船橋,1800,1,225,9.78,29.33,19.555,17.248125,3.460312499999997
43,船橋,1800,2,225,6.67,25.33,16.0,17.248125,-1.8721875000000026
43,船橋,1800,3,290,8.97,25.52,17.245,17.248125,-0.004687500000001066
43,船橋,1800,4,323,8.98,25.7,17.34,17.248125,0.13781249999999723
43,船橋,1800,5,354,7.34,22.88,15.11,17.248125,-3.2071875000000034
43,船橋,1800,6,374,6.68,22.73,14.705,17.248125,-3.8146875000000025
43,船橋,1800,7,396,9.34,28.03,18.685000000000002,17.248125,2.155312500000001
43,船橋,1800,8,411,10.71,27.98,19.345,17.248125,3.1453124999999957
43,船橋,2200,1,149,8.05,26.17,17.11,18.466875,-2.0353125000000034
43,船橋,2200,2,149,13.42,32.89,23.155,18.466875,7.032187499999999
43,船橋,2200,3,154,5.19,20.78,12.985000000000001,18.466875,-8.2228125
