"競馬場コード","競馬場名","距離(m)","クラス","サンプル数","集計開始日","集計終了日","基準タイム(秒)","標準偏差(秒)"
"48","名古屋","1400","一般戦","1480","20240409","20251224","91.63","1.20"
"48","名古屋","1500","上位クラス","195","20220408","20251121","95.58","1.97"
"48","名古屋","1500","E級","2726","20220408","20251224","96.94","1.39"
"48","名古屋","1500","一般戦","14317","20220408","20251224","98.33","1.36"
"48","名古屋","1700","上位クラス","175","20220421","20251210","110.84","1.60"
"48","名古屋","1700","E級","1920","20220408","20251224","111.45","1.37"
"48","名古屋","1700","一般戦","1340","20220411","20251224","111.93","1.10"
"48","名古屋","2000","上位クラス","85","20220504","20251224","130.92","2.25"
"48","名古屋","2000","E級","270","20220503","20251204","133.09","1.45"
"48","名古屋","2000","一般戦","15","20251015","20251223","134.03","0.77"
"48","名古屋","2100","上位クラス","65","20220530","20250604","136.78","2.40"
"48","名古屋","2100","E級","40","20220914","20250213","138.69","1.37"
"50","園田","0820","上位クラス","50","20160630","20250619","49.33","0.57"
"50","園田","0820","E級","1444","20190816","20251230","51.02","0.62"
"50","園田","0820","一般戦","2849","20160615","20251230","51.96","0.84"
"50","園田","1230","上位クラス","45","20171101","20251017","77.81","1.00"
"50","園田","1230","E級","6665","20160102","20251230","80.42","1.31"
"50","園田","1230","一般戦","3755","20160103","20251231","81.91","1.36"
"50","園田","1400","上位クラス","396","20160121","20251225","90.06","1.78"
"50","園田","1400","E級","12967","20160102","20251231","91.50","1.53"
"50","園田","1400","一般戦","48864","20160102","20251231","93.46","1.73"
"50","園田","1700","上位クラス","375","20160407","20251231","112.52","1.97"
"50","園田","1700","E級","4081","20160104","20251224","114.42","2.03"
"50","園田","1700","一般戦","1001","20160106","20251210","116.28","2.36"
"50","園田","1870","上位クラス","295","20160103","20251127","123.51","1.91"
"50","園田","1870","E級","2368","20160103","20251230","126.25","2.30"
"50","園田","1870","一般戦","230","20160209","20250115","128.58","2.53"
"50","園田","2400","上位クラス","45","20160303","20230601","163.95","2.82"
"50","園田","2400","E級","20","20200319","20251231","166.08","3.80"
"51","姫路","0800","E級","421","20200130","20250306","50.22","0.57"
"51","姫路","0800","一般戦","585","20200115","20250306","51.14","0.69"
"51","姫路","1400","上位クラス","70","20210114","20250220","91.73","1.73"
"51","姫路","1400","E級","1125","20200116","20250306","92.91","1.36"
"51","姫路","1400","一般戦","4880","20200115","20250306","94.69","1.49"
"51","姫路","1500","E級","910","20200115","20250305","99.31","1.44"
"51","姫路","1500","一般戦","406","20200117","20250306","101.13","1.62"
"51","姫路","1800","上位クラス","5","20250306","20250306","123.80","1.77"
"51","姫路","1800","E級","380","20200115","20250305","123.97","1.93"
"51","姫路","1800","一般戦","25","20230323","20250227","125.28","2.13"
"51","姫路","2000","上位クラス","30","20200130","20250213","134.15","1.45"
"51","姫路","2000","E級","90","20200130","20250219","137.68","1.72"
"54","高知","0800","E級","340","20160724","20241208","51.62","1.30"
"54","高知","0800","一般戦","665","20160723","20250720","50.36","1.04"
"54","高知","1300","上位クラス","280","20160131","20250913","84.07","1.53"
"54","高知","1300","E級","2023","20160111","20251229","85.53","2.10"
"54","高知","1300","一般戦","24489","20160101","20251231","86.42","1.70"
"54","高知","1400","上位クラス","790","20160101","20251228","91.52","1.83"
"54","高知","1400","E級","3324","20160101","20251229","91.95","1.61"
"54","高知","1400","一般戦","21700","20160101","20251231","93.02","1.75"
"54","高知","1600","上位クラス","405","20160214","20251213","106.36","2.27"
"54","高知","1600","E級","1840","20160109","20251228","106.76","1.76"
"54","高知","1600","一般戦","5071","20160101","20251231","107.84","2.08"
"54","高知","1800","上位クラス","150","20180527","20251228","121.79","2.15"
"54","高知","1800","E級","10","20231228","20241228","126.58","1.49"
"54","高知","1900","上位クラス","275","20160410","20251220","127.67","2.09"
"54","高知","1900","E級","5","20250121","20250121","134.50","0.38"
"54","高知","2400","上位クラス","50","20161231","20251231","165.62","2.87"
"55","佐賀","0900","上位クラス","110","20190302","20250222","54.12","0.82"
"55","佐賀","0900","E級","235","20170520","20250920","54.24","0.83"
"55","佐賀","0900","一般戦","3248","20160110","20251228","56.51","1.14"
"55","佐賀","1300","上位クラス","125","20210821","20250927","83.10","1.27"
"55","佐賀","1300","E級","225","20200812","20251220","84.12","1.08"
"55","佐賀","1300","一般戦","18623","20160102","20251228","85.77","1.47"
"55","佐賀","1400","上位クラス","1205","20160116","20251227","89.75","1.50"
"55","佐賀","1400","E級","1330","20160102","20251221","90.36","1.47"
